
=== LOG 2026-06-26 22:58:03.345447 ===
  Produk: (KWL) 1. MENENGAH > Rp 25 M S/D 50 M - Cash Collateral | Segmen: Small      | Count:     9 | Total:      308,141.04
  Produk: Briguna Mikro                  | Segmen: Mikro      | Count:  2233 | Total:   10,863,526.62
  Produk: Briguna Ritel                  | Segmen: Konsumer   | Count:  5966 | Total:  102,123,176.78
  Produk: KPR                            | Segmen: Konsumer   | Count:   912 | Total:   32,992,913.74
  Produk: KUR Mikro                      | Segmen: Mikro      | Count:  4368 | Total:    4,640,106.77
  Produk: Kecil Komersial                | Segmen: Small      | Count: 10667 | Total:   75,536,489.75
  Produk: Kredit Mikro - KUR Ritel 2015  | Segmen: Mikro      | Count:   579 | Total:    1,140,160.03
  Produk: Kupedes                        | Segmen: Mikro      | Count:  8658 | Total:    6,332,884.06
  Produk: Lainnya                        | Segmen: Konsumer   | Count:   524 | Total:       98,930.88
  Produk: Menengah                       | Segmen: Small      | Count:   562 | Total:   74,441,398.58
  Produk: Menengah Kanwil >Rp.200M sd 500 M | Segmen: Small      | Count:    47 | Total:    7,865,026.83

=== LOG 2026-06-26 22:58:08.227566 ===
  Produk: (KWL) 1. MENENGAH > Rp 25 M S/D 50 M - Cash Collateral | Segmen: Small      | Count:     9 | Total:      308,141.04
  Produk: Briguna Mikro                  | Segmen: Mikro      | Count:  2233 | Total:   10,863,526.62
  Produk: Briguna Ritel                  | Segmen: Konsumer   | Count:  5966 | Total:  102,123,176.78
  Produk: KPR                            | Segmen: Konsumer   | Count:   912 | Total:   32,992,913.74
  Produk: KUR Mikro                      | Segmen: Mikro      | Count:  4368 | Total:    4,640,106.77
  Produk: Kecil Komersial                | Segmen: Small      | Count: 10667 | Total:   75,536,489.75
  Produk: Kredit Mikro - KUR Ritel 2015  | Segmen: Mikro      | Count:   579 | Total:    1,140,160.03
  Produk: Kupedes                        | Segmen: Mikro      | Count:  8658 | Total:    6,332,884.06
  Produk: Lainnya                        | Segmen: Konsumer   | Count:   524 | Total:       98,930.88
  Produk: Menengah                       | Segmen: Small      | Count:   562 | Total:   74,441,398.58
  Produk: Menengah Kanwil >Rp.200M sd 500 M | Segmen: Small      | Count:    47 | Total:    7,865,026.83

=== LOG 2026-06-26 22:59:26.513921 ===
  Produk: (KWL) 1. MENENGAH > Rp 25 M S/D 50 M - Cash Collateral | Segmen: Small      | Count:     9 | Total:      308,141.04
  Produk: Briguna Mikro                  | Segmen: Mikro      | Count:  2233 | Total:   10,863,526.62
  Produk: Briguna Ritel                  | Segmen: Konsumer   | Count:  5966 | Total:  102,123,176.78
  Produk: KPR                            | Segmen: Konsumer   | Count:   912 | Total:   32,992,913.74
  Produk: KUR Mikro                      | Segmen: Mikro      | Count:  4368 | Total:    4,640,106.77
  Produk: Kecil Komersial                | Segmen: Small      | Count: 10667 | Total:   75,536,489.75
  Produk: Kredit Mikro - KUR Ritel 2015  | Segmen: Mikro      | Count:   579 | Total:    1,140,160.03
  Produk: Kupedes                        | Segmen: Mikro      | Count:  8658 | Total:    6,332,884.06
  Produk: Lainnya                        | Segmen: Konsumer   | Count:   524 | Total:       98,930.88
  Produk: Menengah                       | Segmen: Small      | Count:   562 | Total:   74,441,398.58
  Produk: Menengah Kanwil >Rp.200M sd 500 M | Segmen: Small      | Count:    47 | Total:    7,865,026.83

=== LOG 2026-06-26 23:01:21.175471 ===
  Produk: (KWL) 1. MENENGAH > Rp 25 M S/D 50 M - Cash Collateral | Segmen: Small      | Count:     9 | Total:      308,141.04
  Produk: Briguna Mikro                  | Segmen: Mikro      | Count:  2233 | Total:   10,863,526.62
  Produk: Briguna Ritel                  | Segmen: Konsumer   | Count:  5966 | Total:  102,123,176.78
  Produk: KPR                            | Segmen: Konsumer   | Count:   912 | Total:   32,992,913.74
  Produk: KUR Mikro                      | Segmen: Mikro      | Count:  4368 | Total:    4,640,106.77
  Produk: Kecil Komersial                | Segmen: Small      | Count: 10667 | Total:   75,536,489.75
  Produk: Kredit Mikro - KUR Ritel 2015  | Segmen: Mikro      | Count:   579 | Total:    1,140,160.03
  Produk: Kupedes                        | Segmen: Mikro      | Count:  8658 | Total:    6,332,884.06
  Produk: Lainnya                        | Segmen: Konsumer   | Count:   524 | Total:       98,930.88
  Produk: Menengah                       | Segmen: Small      | Count:   562 | Total:   74,441,398.58
  Produk: Menengah Kanwil >Rp.200M sd 500 M | Segmen: Small      | Count:    47 | Total:    7,865,026.83

=== LOG 2026-06-26 23:03:26.891375 ===
  Produk: (KWL) 1. MENENGAH > Rp 25 M S/D 50 M - Cash Collateral | Segmen: Small      | Count:     9 | Total:      308,141.04
  Produk: Briguna Mikro                  | Segmen: Mikro      | Count:  2233 | Total:   10,863,526.62
  Produk: Briguna Ritel                  | Segmen: Konsumer   | Count:  5966 | Total:  102,123,176.78
  Produk: KPR                            | Segmen: Konsumer   | Count:   912 | Total:   32,992,913.74
  Produk: KUR Mikro                      | Segmen: Mikro      | Count:  4368 | Total:    4,640,106.77
